name	value
"Terms & Conditions

1. The Data is provided under a Creative Commons licence (see 2.0). It is additionally subject to the End-User Agreement and Disclaimer (see 3.0). We recommend and welcome collaborating on data analysis and publications due to the complex nature of the dataset and the availability of updated, augmented and improved data sets. Please see http://redapt.eng.ed.ac.uk for further information.

2. Data is provided under the Creative Commons Attribution 4.0 International (CC BY 4.0) licence: URL: https://creativecommons.org/licenses/by/4.0/

2.1. The source of this data must be acknowledged and attributed. Please use the following references:

2.1.1. Sellar B.G., Sutherland D.R.J., (2016) Tidal energy site characterisation at the Fall of Warness, EMEC, UK. University of Edinburgh. Technical Report - Energy Technologies Institute REDAPT MA1001, December 2016.   
2.1.2 Sellar, Brian. (2016). Metocean Data Set from the ReDAPT Tidal Project: Batch 1, Part 1, 2011-2014 [dataset]. University of Edinburgh. School of Engineering. http://datashare.is.ed.ac.uk/handle/10283/2329   

3.  Use of the data is subject to the following End-User Agreement and Disclaimer:

You, (the End-User), are about to access certain data, (the Data) which has been gathered during a research project, (entitled ReDAPT), and by continuing you acknowledge that the Data is presented here 'as is', without any commitment that it is complete, accurate of suitable for any specific use or purpose to which you may wish to put the same. Specifically, no warranty or other assurance is given or should be implied that use of the Data will generate any particular end or result, or that your use of the Data will be uninterrupted or error-free, and all other conditions, warranties or other terms which might have been implied, whether by statute, common law or otherwise, are hereby excluded, including the implied conditions, warranties or other terms as to satisfactory quality, fitness for purpose or the use of reasonable skill and care.  

For the avoidance of doubt, the photograph ""Multiple ADCP Instrument Frames University of Edinburgh.png"" was taken by Brian Sellar in his capacity as a University of Edinburgh employee and is also available under CC-BY."	1
The materials are made available through a CC-BY-NC-SA licence.	1
