record.dataset.metas.default.license	count
Upon accessing the Licensed Data you will be deemed to have accepted the terms of the Public Sector End User Licence - INSPIRE	28
Etalab-2.0	28
CC BY-NC	29
License Not Specified	29
notspecified	30
Licence Ouverte V2.0 (Etalab)	31
Custom License (see reference link)	31
CC BY-4.0	31
Licence Ouverte V2 (Etalab)	32
CC-0	36
Licence ouvert V2.0 Etalab	36
Creative Commons Attribution 3.0 Australia Licence	37
Licence Mobilité	39
Se conformer aux recommandations du producteur	43
ODC-BY	44
dl-de-by-2.0	44
Licence Ouverte Version 2.0	47
CC BY-SA	51
Open Database License-ODBL	55
DL-DE-BY-2.0	56
Elia Open Data Licence	58
Open Government Licence V 3.0	62
Public domain	63
ODbL	67
https://www.insee.fr/fr/information/2008466	72
Publiek domein	73
Licence Ouverte / Open Licence version 2.0	76
Licence ODbL Version Française	83
Creative Commons - CC0	89
Licence Ouverte 2.0 (Etalab)	89
CC0 - Universal open license	91
Licence Ouverte/Open License Version 2.0	93
licence ouverte / open licence	94
CC BY 3.0 CH + OpenStreetMap	112
Nutzungsbedingungen der LHP	114
Licence ouverte : https://www.etalab.gouv.fr/licence-ouverte-open-licence	115
Data licence Germany - Zero - Version 2.0	124
Licence ouverte / Open Licence	136
Atribución 4.0 Internacional (CC BY 4.0)	136
https://www.cityofkingston.ca/documents/10180/144997/CityofKingston_OpenDataLicense.pdf	136
Licence ODbL 1.0	144
https://data.sbb.ch/page/licence	160
CC0	180
CC By 4.0	187
http://www.opendefinition.org/licenses/cc-by	193
Licence Ouverte v1.0	200
Creative Commons Attribution 3.0 Australia	201
Open Database License	218
Dominio público	247
Licence ouverte (Etalab)	280
CC BY 4.0 EN	304
CC-BY	329
Open Government Licence - Vancouver	361
Datenlizenz Deutschland – Zero – Version 2.0	402
CC BY 3.0 CH	412
Modellicentie Gratis Hergebruik	440
CC BY 3	454
Open License v1.0	496
Licence Ouverte-LO	558
Creative Commons Attribution 3.0 Unported	643
Open Government Licence v3.0	843
Open License v2.0	869
Licence Ouverte v2.0	1030
Public Domain	1067
Licence Ouverte	1249
CC BY 4.0	1806
CC BY	2099
Open Database License (ODbL)	3707
Licence Ouverte (Etalab)	4298
None	8779
Licence Ouverte v2.0 (Etalab)	9964
