      1 AGPL 3.0 or later
      1 BSD 2-Clause
      1 CC-BY-NC-ND-3.0-ES
      1 CC-BY-NC-SA-3.0-ES
      1 CC-BY-ND-4.0
      1 GPL-3.0-or-later
      2 DL-DE/BY-2-0
      3 AGPL-3.0-or-later
      3 Apache 2.0
      3 Apache-2.0
      3 CC-BY-NC-4.0-ES
      3 CC-BY-SA-3.0
      3 ODC-By v1.0
      3 ODbL v1.0
      4 CC-BY-3.0-ES
      4 Custom KU Leuven
      4 LGPL 3.0 or later
      4 MIT
      4 ODC-By 1.0
      6 CC BY-ND 4.0
      9 BSD 3-Clause
     17 Licence Ouverte / Open Licence 2.0
     19 Etalab (CC-BY)
     21 MIT License
     23 GPL 3.0 or later
     24 CC-BY-SA-4.0
     30 CC-BY-NC-ND-4.0
     46 CC-BY-NC-4.0
     62 CC-BY-NC-SA-4.0
     70 CC BY-NC-ND 4.0
    286 Statistics Canada Open Licence
    309 CC BY-NC-SA 4.0
    391 CC-BY-SA-4.0-ES
    509 CC-BY-4.0
    971 CC BY 4.0
   1282 CC BY-SA 4.0
   1297 CC BY-NC 4.0
   1823 CC-BY 4.0
   1826 etalab 2.0
   3540 CC0 1.0
