name	value
https://lindat.mff.cuni.cz/repository/xmlui/page/license-ud-1.0	1
https://lindat.mff.cuni.cz/repository/xmlui/page/deep-sequoia-licence	1
http://opensource.org/licenses/Artistic-2.0	1
https://lindat.mff.cuni.cz/repository/xmlui/page/license-PAWS	1
https://lindat.mff.cuni.cz/repository/xmlui/page/license-corefud-0.1	1
https://lindat.mff.cuni.cz/repository/xmlui/page/licence-mwe-literal	1
https://lindat.mff.cuni.cz/repository/xmlui/page/license-NLPC-WeC	1
https://lindat.mff.cuni.cz/repository/xmlui/page/license-corefud-1.1	1
https://lindat.mff.cuni.cz/repository/xmlui/page/szn-dataset-licence	1
http://opensource.org/licenses/AGPL-3.0	1
https://lindat.mff.cuni.cz/repository/xmlui/page/licence-pdtsl	1
https://lindat.mff.cuni.cz/repository/xmlui/page/license-corefud-0.2	1
"LDC Catalog No.:	LDC2008T22"	1
http://opendatacommons.org/licenses/odbl/summary/	1
https://lindat.mff.cuni.cz/repository/xmlui/page/license-ud-2.9	1
https://lindat.mff.cuni.cz/repository/xmlui/page/Qwant_LongEval_BY-NC-SA_License	1
https://lindat.mff.cuni.cz/repository/xmlui/page/licence-UD-2.0	1
https://lindat.mff.cuni.cz/repository/xmlui/page/licence-UD-1.3	1
https://lindat.mff.cuni.cz/repository/xmlui/page/licence-UD-2.4	1
https://lindat.mff.cuni.cz/repository/xmlui/page/licence-hamledt-3.0	1
http://opendatacommons.org/licenses/by/1.0/	1
http://www.apache.org/licenses/LICENSE-2.0	1
https://tudatalib.ulb.tu-darmstadt.de/bitstream/handle/tudatalib/2430/insufficiently_supported_arguments_license.pdf	1
https://tudatalib.ulb.tu-darmstadt.de/bitstream/handle/tudatalib/2448/DSRC_License.pdf?sequence=2&isAllowed=y	1
https://issm.jpl.nasa.gov/download/	1
https://opensource.org/licenses/isc-license.txt	1
https://tudatalib.ulb.tu-darmstadt.de/bitstream/handle/tudatalib/2422/arg_annotated_essays_v2_license.pdf	1
https://tudatalib.ulb.tu-darmstadt.de/bitstream/handle/tudatalib/2941/UBY_License.txt	1
https://tudatalib.ulb.tu-darmstadt.de/bitstream/handle/tudatalib/2421/argument_annotated_essays_license.pdf	1
https://tudatalib.ulb.tu-darmstadt.de/bitstream/handle/tudatalib/2423/Arg_annotated_user_generated_web_discourse_license.pdf	1
https://creativecommons.org/licenses/by-nc-nd/4.0/deed.de	1
https://tudatalib.ulb.tu-darmstadt.de/bitstream/handle/tudatalib/2429/Opposing_arguments_persuasive_essays_license.pdf	1
https://joinup.ec.europa.eu/collection/eupl/eupl-text-eupl-12	1
CC-BY-NC	1
CC-BY	1
https://creativecommons.org/licenses/by-nc/4.0/  	1
https://creativecommons.org/Licenses/by/4.0/	1
"This is the author accepted manuscript. Available from Public Library of Science via the DOI in this record. This is an open access article, free of all
copyright, and may be freely reproduced, distributed,
transmitted, modified, built upon, or otherwise used
by anyone for any lawful purpose. The work is made
available under the Creative Commons CC0 public
domain dedication."	1
https://creativecommons.org/licenses/by/3.0	1
https://creativecommons.org/licenses/by/3.0/deed.en_US	1
http://royalsocietypublishing.org/licence	1
http://hdl.handle.net/10871/38640	1
http://www.creativecommons.org/licenses/by-nc/4.0/	1
https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode	1
http://creativecommons.org/licenses/by-nc-sa/4.0	1
http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html	1
http://creativecommons.org/licenses/by-nc/2.0/uk/	1
http://creativecommons.org/licenses/by/3.0	1
http://creativecommons.org/licenses/by/4.0/.	1
https://creativecommons.org/licenses/by/3.0/igo/	1
http//creativecommons.org/licenses/by-nc-nd/3.0	1
http://creativecommons.org/licenses/by-nc/2.0/	1
http://creativecommons.org/ licenses/by/4.0/.	1
https://creativecommons.org/licenses/by-nc-sa/3.0/us/	1
https://creativecommons.org/licenses/by-nc-nd/3.0/us/	1
Aquest document està subjecte a una llicència d'ús de Creative Commons, amb la qual es permet copiar, distribuir i comunicar públicament l'obra sempre que se'n citin l'autor original, la universitat i el departament i no se'n faci cap ús comercial ni obra derivada, tal com queda estipulat en la llicència d'ús (http://creativecommons.org/licenses/by-nc-nd/2.5/es/)	1
Aquest document està subjecte a una llicència d'ús de Creative Commons, amb la qual es permet copiar, distribuir i comunicar públicament l'obra sempre que se'n citin l'autor original, la universitat i la facultat i no se'n faci cap ús comercial ni obra derivada, tal com queda estipulat en la llicència d'ús (http://creativecommons.org/licenses/by-nc-nd/2.5/es/)	1
http://www.elsevier.com/about/open-access/open-access-policies/oa-license-policy/elsevier-user-license	1
Aquest document està subjecte a una llicència d'ús de Creative Commons, amb la qual es permet copiar, distribuir i comunicar públicament l'obra sempre que se'n citin l'autor original, la universitat i l'escola i no se'n faci cap ús comercial ni obra derivada, tal com queda estipulat en la llicència d'ús (http://creativecommons.org/licenses/by-nc-nd/2.5/es/)	1
